약품코드,약품명,처방량,금액
A001,아스피린정100mg,1250,3750000
A002,메트포르민정500mg,980,2940000
A003,암로디핀정5mg,1540,6160000
A004,아토르바스타틴정20mg,2100,12600000
A005,오메프라졸캡슐20mg,870,4350000
A006,레보티록신정50mcg,430,1290000
A007,클로피도그렐정75mg,760,7600000
A008,리시노프릴정10mg,620,2480000
A009,심바스타틴정20mg,510,3060000
A010,메토프롤롤정50mg,390,1950000
A011,글리메피리드정2mg,670,4020000
A012,로사르탄정50mg,820,4920000
A013,알렌드론산정70mg,290,2320000
A014,세티리진정10mg,1100,3300000
A015,독시사이클린캡슐100mg,340,2380000
A016,암브록솔정30mg,560,1680000
A017,이부프로펜정400mg,1890,5670000
A018,아세트아미노펜정500mg,2340,4680000
A019,트라마돌캡슐50mg,180,1800000
A020,디클로페낙정50mg,430,2150000
